sort_order,repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
00000.00118,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019592,Othniel Charles Marsh papers,"Blake, John M.",file,,,
00000.00119,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019593,Othniel Charles Marsh papers,"Blake, William Phipps (1826-?)",file,,,
00000.00120,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019594,Othniel Charles Marsh papers,Theodore Bliss and Company,file,,,
00000.00121,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019595,Othniel Charles Marsh papers,"Blunt, W. T., Jr.",file,,,
00000.00122,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019596,Othniel Charles Marsh papers,"Boardman, William J.",file,,,
00000.00123,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019597,Othniel Charles Marsh papers,"Boas, Franz (1858-?)",file,,,
00000.00124,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019598,Othniel Charles Marsh papers,"Bonaparte, J.T.",file,,,
00000.00125,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019599,Othniel Charles Marsh papers,"Bonaparte, Roland Napoleon",file,,,
00000.00126,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019600,Othniel Charles Marsh papers,"Booth, W. F.",file,,,
00000.00127,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019601,Othniel Charles Marsh papers,"Borcherdt, R",file,,,
00000.00128,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019602,Othniel Charles Marsh papers,"Boschis, C.",file,,,
00000.00129,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019603,Othniel Charles Marsh papers,"Boss, Lewis (1846-1912)",file,,,
00000.00130,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019604,Othniel Charles Marsh papers,"Bostwick, Thomas A.",file,,,
00000.00131,/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019605,Othniel Charles Marsh papers,"Bostwick, Thomas A.",file,,,
